X,Y,objectid,date,tests,positives,hospitalized,icu,deaths,newcases,age_9,age10_19,age40_49,age50_59,age60_69,age70_79,age80_plus,ageunknow,age20_29,genderfemale,gendermale,gendeunk,age30_39,globalid,newtests,rolling_perc_pos_cases
-12994883.727,3899795.7453,59,2020/03/11 08:00:00+00,123,5,,,,1,,,,,,,,,,,,,,{78698F35-A6E9-48CB-8C8D-67A70EC15C1D},,
-12994883.727,3899795.7453,60,2020/03/12 08:00:00+00,147,10,,,,5,,,,,,,,,,,,,,{EFA2B0DB-A692-4632-8495-14B46E240096},,
-12994883.727,3899795.7453,61,2020/03/13 08:00:00+00,273,19,,,,9,,,,,,,,,,,,,,{AA7DF18A-6303-4758-A5F1-9B9CD4388A92},52,
-12994883.727,3899795.7453,62,2020/03/14 08:00:00+00,288,25,12,,,6,,,,,,,,,,,,,,{9A014068-714D-4FD4-B011-A16A1A49C07C},14,
-12994883.727,3899795.7453,63,2020/03/15 08:00:00+00,313,37,10,,,12,,,,,,,,,,,,,,{DA54D0B2-3C90-4FF2-8090-BE3BDB8C1B4E},25,
-12994883.727,3899795.7453,64,2020/03/16 08:00:00+00,338,50,10,,,13,,,,,,,,,,,,,,{3A63E2BF-1BBE-4CF2-8356-56D72CB6318B},25,
-12994883.727,3899795.7453,65,2020/03/17 08:00:00+00,382,59,11,,,9,,,,,,,,,,,,,,{E578E4BA-73AC-4FC7-B652-29114681EA02},77,
-12994883.727,3899795.7453,66,2020/03/18 08:00:00+00,1049,70,13,,,11,,,,,,,,,,,,,,{51DEC5D1-CE94-4482-9980-EE4D2C424D96},143,
-12994883.727,3899795.7453,67,2020/03/19 08:00:00+00,1369,100,27,,,30,,,,,,,,,,,,,,{7017D059-DDBF-46CB-856A-EF820A94A1FC},320,
-12994883.727,3899795.7453,68,2020/03/20 08:00:00+00,1462,118,34,13,,18,,,,,,,,,,,,,,{7EFE3E05-B1AE-4C49-8639-F44A12C549E8},93,
-12994883.727,3899795.7453,69,2020/03/21 08:00:00+00,2250,143,41,15,1,25,,,,,,,,,,,,,,{3E673173-4F9D-4895-948C-ECC65C569674},788,
-12994883.727,3899795.7453,70,2020/03/22 08:00:00+00,3082,197,37,18,1,54,,,,,,,,,,,,,,{5C978C42-3F7B-4D45-ADAB-603B326D99C5},422,
-12994883.727,3899795.7453,71,2020/03/23 08:00:00+00,3464,232,45,21,2,35,,,,,,,,,,,,,,{AB1303B3-9C1D-4D6D-AE1C-A5B87A1F8106},382,
-12994883.727,3899795.7453,72,2020/03/24 08:00:00+00,3968,283,59,29,2,51,,,,,,,,,,,,,,{4AE7B2F9-9316-42AF-8084-0AA5FCECEB88},504,
-12994883.727,3899795.7453,73,2020/03/25 08:00:00+00,5055,341,69,31,3,58,3,3,61,53,26,25,14,1,66,134,207,0,89,{FC4E66D2-6EF6-4C03-B359-024D3FEAD47A},1087,
-12994883.727,3899795.7453,74,2020/03/26 08:00:00+00,6078,417,85,38,5,76,3,4,73,65,31,29,20,2,84,166,249,1,106,{AD18F325-72ED-4902-B908-5DFAA067CEDD},1023,8.21392533
-12994883.727,3899795.7453,75,2020/03/27 08:00:00+00,6854,488,96,42,7,71,3,5,85,74,36,38,25,2,102,206,280,2,118,{B2D9C7AA-BA78-44CF-BD6E-F824F52E2080},776,8.25849621
-12994883.727,3899795.7453,76,2020/03/28 08:00:00+00,8129,519,106,47,7,31,4,6,90,79,37,39,26,1,107,219,298,2,130,{7F51D1FE-3E7C-4458-8189-8F57F43724FF},1275,7.11815562
-12994883.727,3899795.7453,77,2020/03/29 08:00:00+00,8816,603,118,51,7,84,4,6,105,91,52,45,29,2,121,256,345,2,148,{267024CD-7F59-4980-984E-C6DCCC9AF129},687,7.4454091
-12994883.727,3899795.7453,78,2020/03/30 08:00:00+00,10354,734,136,56,9,131,5,7,130,116,74,49,34,1,144,317,414,3,174,{4129822F-D772-4621-B42A-72CC528DAD6D},1538,7.5041141
-12994883.727,3899795.7453,79,2020/03/31 08:00:00+00,11343,849,158,65,11,115,6,8,154,125,93,62,41,3,163,380,461,8,194,{7048A6EE-9761-499C-97B5-85D9031E1D01},989,7.87872744
-12994883.727,3899795.7453,80,2020/04/01 08:00:00+00,13950,966,181,70,16,117,8,9,170,149,108,71,45,3,187,439,514,13,216,{B8B23A97-01DD-46A7-9A30-A6969FED3A11},2606,7.17373899
-12994883.727,3899795.7453,81,2020/04/02 08:00:00+00,15831,1112,211,85,17,146,10,12,192,177,136,88,55,6,198,519,585,8,238,{363254D3-A87F-46AD-874E-623969838593},1882,7.2018218
-12994883.727,3899795.7453,82,2020/04/03 08:00:00+00,16856,1209,228,89,18,97,10,14,212,202,152,91,64,4,209,570,630,9,251,{3083F3D2-711C-42B3-AE8D-2BCDA9E47F73},1025,7.28109984
-12994883.727,3899795.7453,83,2020/04/04 08:00:00+00,17663,1326,249,94,19,117,10,15,237,222,162,99,66,3,226,609,710,7,286,{D74A8EC5-6079-446E-8C3A-FC60E1309CBA},807,7.88508965
-12994883.727,3899795.7453,84,2020/04/05 08:00:00+00,18490,1404,269,102,19,78,10,15,254,235,172,109,71,3,235,657,739,8,300,{436AD7C9-A0C1-46CE-8447-C44A7EEF6BC5},827,7.83359294
-12994883.727,3899795.7453,85,2020/04/06 08:00:00+00,20336,1454,289,109,31,50,10,16,259,255,190,115,79,2,240,701,747,6,288,{FB8C8FA5-C189-46D0-A897-F61ABE58CD3E},1846,7.24276908
-12994883.727,3899795.7453,86,2020/04/07 08:00:00+00,21178,1530,316,122,36,76,10,16,268,278,201,123,86,3,244,737,785,8,301,{DE31A3B2-0960-4FB1-9E82-3C89964268F5},842,7.24578733
-12994883.727,3899795.7453,87,2020/03/07 08:00:00+00,,1,0,0,0,1,,,,,,,,,,,,,,{CE98E5A7-7D8E-4D20-BC84-069A17D43232},,
-12994883.727,3899795.7453,88,2020/03/08 08:00:00+00,,2,0,0,0,1,,,,,,,,,,,,,,{8AC07123-E9DA-4D83-9720-7BF93E4B6C44},,
-12994883.727,3899795.7453,89,2020/03/09 08:00:00+00,,2,0,0,0,0,,,,,,,,,,,,,,{52083240-452D-41A6-BD0F-2D424B2745BC},,
-12994883.727,3899795.7453,90,2020/03/10 08:00:00+00,,4,0,0,0,2,,,,,,,,,,,,,,{9DF87361-2D53-4A06-8DF9-A986B660061D},,
-12994883.727,3899795.7453,91,2020/04/08 08:00:00+00,22098,1628,348,132,40,98,10,20,283,293,224,131,90,2,255,790,832,6,320,{91DF75C6-1211-42E8-9509-1789C0C1A877},920,7.55148741
